""""," 製成数量_総 数(kl)"," 製成数量_清  酒(kl)"," 製成数量_合成清酒(kl)"," 製成数量_しょうちゅう(kl)"," 製成数量_みりん(kl)"," 製成数量_ビ－ル(kl)"," 製成数量_果実酒類(kl)"," 製成数量_ｳｲｽｷ-類(kl)"," 製成数量_その他(kl)"," 販売（消費）数量_　 総 数(kl)"," 販売（消費）数量_清  酒(kl)"," 販売（消費）数量_合成清酒(kl)"," 販売（消費）数量_しょうちゅう(kl)"," 販売（消費）数量_みりん(kl)"," 販売（消費）数量_ビ－ル(kl)"," 販売（消費）数量_果実酒類(kl)"," 販売（消費）数量_ｳｲｽｷ-類(kl)"," 販売（消費）数量_その他(kl)"
"平成 7年度(1995年度)","14011.0","9846.0","0.0","104.0","794.0","0.0","37.0","0.0","3227.0","84834.0","13976.0","404.0","2125.0","1610.0","59614.0","761.0","1497.0","4845.0"
"","","","","","","","","","","","","","","","","","",""
"平成 8年度(1996年度)","13160.0","7007.0","0.0","125.0","1806.0","65.0","37.0","0.0","4120.0","87932.8","13946.4","447.4","2324.0","1253.0","63164.0","739.0","1300.0","4759.0"
"平成 9年度(1997年度)","12655.6","6396.4","0.0","88.4","1895.4","167.4","47.0","0.0","4061.0","81734.0","12360.0","423.0","2516.0","1171.0","57104.0","999.0","1181.0","5980.0"
"平成10年度(1998年度)","11773.0","5570.0","0.0","66.0","x","x","x","x","3342.0","84482.0","11595.0","450.0","2619.0","1220.0","55510.0","1499.0","1214.0","10375.0"
"平成11年度(1999年度)","10025.0","4864.0","0.0","162.0","x","x","51.0","x","2485.0","83311.0","11224.0","439.0","2995.0","1228.0","51234.0","1346.0","1133.0","13712.0"
"平成12年度(2000年度)","8782.0","3904.0","0.0","290.0","x","x","x","0.0","2386.0","81737.0","10732.0","476.0","3401.0","1274.0","47217.0","1278.0","1032.0","16330.0"
"","","","","","","","","","","","","","","","","","",""
"平成13年度(2001年度)","8019.0","3547.0","0.0","366.0","x","x","65.0","0.0","2426.0","79338.0","9617.0","468.0","3714.0","1000.0","40713.0","1046.0","794.0","21991.0"
"平成14年度(2002年度)","6885.0","2767.0","0.0","605.0","x","x","x","x","2234.0","77661.0","9585.0","498.0","4329.0","1030.0","35157.0","1113.0","711.0","25237.0"
"平成15年度(2003年度)","7806.0","4117.0","0.0","608.0","x","x","x","x","2138.0","74399.0","8543.0","544.0","5134.0","1028.0","31338.0","1120.0","631.0","26058.0"
"平成16年度(2004年度)","7931.0","3680.0","0.0","719.0","x","78.0","45.0","x","2568.0","71698.0","7288.0","428.0","5735.0","1029.0","29364.0","939.0","505.0","26407.0"
"平成17年度(2005年度)","8595.0","3717.0","0.0","827.0","x","x","31.0","x","3034.0","75490.0","7860.0","411.0","6186.0","1118.0","27886.0","1186.0","482.0","30359.0"
"","","","","","","","","","","","","","","","","","",""
"平成18年度(2006年度)","10302.0","3981.0","0.0","x","x","x","51.0","x","4769.0","70426.0","6691.0","426.0","6179.0","1082.0","25374.0","1041.0","444.0","29186.0"
"平成19年度(2007年度)","21001.0","3373.0","0.0","x","808.0","x","27.0","x","15980.0","70673.0","6461.0","427.0","6438.0","1147.0","24814.0","1261.0","423.0","29702.0"
"平成20年度(2008年度)","21009.0","3501.0","0.0","27.0","426.0","x","14.0","x","16240.0","66179.0","5892.0","410.0","6147.0","1087.0","21591.0","842.0","418.0","29786.0"
"平成21年度(2009年度)","22906.0","3293.0","0.0","x","453.0","x","14.0","x","18345.0","64534.0","5697.0","342.0","5912.0","1046.0","19276.0","912.0","428.0","30916.0"
"平成22年度(2010年度)","29760.0","2280.0","0.0","x","369.0","x","31.0","x","26240.0","63600.0","5646.0","339.0","5678.0","1039.0","18485.0","981.0","497.0","30937.0"
"","","","","","","","","","","","","","","","","","",""
"平成23年度(2011年度)","31915.0","2312.0","0.0","x","495.0","x","49.0","x","28177.0","63096.0","5127.0","311.0","5634.0","1035.0","18949.0","1799.0","446.0","29796.0"
"平成24年度(2012年度)","31767.0","2060.0","0.0","x","594.0","x","25.0","x","28235.0","65630.0","5731.0","292.0","6030.0","993.0","18743.0","2033.0","498.0","31302.0"
"平成25年度(2013年度)","34228.0","2192.0","0.0","17.0","485.0","x","12.0","x","30763.0","66242.0","5201.0","282.0","5824.0","978.0","18120.0","2216.0","537.0","33081.0"
